Folio,Tipo de tela,Tela envuelta,Mts Recibidos,Segunda,Desperdicio,Merma,Calidad a la primera,Segundas,Merma,Desperdicio,Calidad de primera real,Calidad de primera,Segundas,Merma ,Desperdicio ,Total de metros,Área
27654,Pongee,2977,2744,159,59,15,92.17%,5.34%,0.50%,1.98%,92.17%,98.62%,0.70%,-2.90%,2.17%,35840,Estampado
27653,Pongee,2985,2920,0,43,22,97.82%,0.00%,0.74%,1.44%,97.82%,99.36%,0.26%,-0.29%,0.45%,15745,Rama (solo)
27652,Pongee,3152,3192,0,66,-106,101.27%,0.00%,-3.36%,2.09%,100.00%,99.13%,0.00%,-1.58%,0.42%,11125,Jigger
27641,Pongee,2520,2370,92,62,-4,94.05%,3.65%,-0.16%,2.46%,94.05%,98.94%,0.43%,-1.88%,1.31%,62710,Planta
27645,Pongee,4004,3957,0,22,25,98.83%,0.00%,0.62%,0.55%,98.83%,,,,,,
27671,Maya,418,420,0,15,-17,100.48%,0.00%,-4.07%,3.59%,100.00%,,,,,,
27657,PD85,2006,2080,0,6,-80,103.69%,0.00%,-3.99%,0.30%,100.00%,,,,,,
27658,PD85,2040,2050,0,41,-51,100.49%,0.00%,-2.50%,2.01%,100.00%,,,,,,
27659,PD85,2077,2034,0,78,-35,97.93%,0.00%,-1.69%,3.76%,97.93%,,,,,,
27660,PD85,2021,2005,0,19,-3,99.21%,0.00%,-0.15%,0.94%,99.21%,,,,,,
27668,PD75,2504,2537,0,15,-48,101.32%,0.00%,-1.92%,0.60%,100.00%,,,,,,
27672,PD85,1928,1907,44,73,-96,98.91%,2.28%,-4.98%,3.79%,98.91%,,,,,,
27673,PD85,1021,1011,0,55,-45,99.02%,0.00%,-4.41%,5.39%,99.02%,,,,,,
27675,PD75,2505,2510,0,50,-55,100.20%,0.00%,-2.20%,2.00%,100.00%,,,,,,
27674,PD75,2910,2995,0,72,-157,102.92%,0.00%,-5.40%,2.47%,100.00%,,,,,,
27677,PD85,989,1108,0,14,-133,112.03%,0.00%,-13.45%,1.42%,100.00%,,,,,,
27647,PD75,1015,1001,0,5,9,98.62%,0.00%,0.89%,0.49%,98.62%,,,,,,
27655,Tropical,2160,2160,0,2,-2,100.00%,0.00%,-0.09%,0.09%,100.00%,,,,,,
27656,Tropical,2045,2035,0,2,8,99.51%,0.00%,0.39%,0.10%,99.51%,,,,,,
27665,Maya,1191,1190,0,1,0,99.92%,0.00%,0.00%,0.08%,99.92%,,,,,,
27664,Pongee,1801,1771,0,26,4,98.33%,0.00%,0.22%,1.44%,98.33%,,,,,,
27676,Tropical,2028,2030,0,2,-4,100.10%,0.00%,-0.20%,0.10%,100.00%,,,,,,
27682,Tropical,2040,2035,0,2,3,99.75%,0.00%,0.15%,0.10%,99.75%,,,,,,
27680,Tropical,1014,1033,24,16,-59,101.87%,2.37%,-5.82%,1.58%,100.00%,,,,,,
27663,Pongee,2538,2490,0,2,46,98.11%,0.00%,1.81%,0.08%,98.11%,,,,,,
27651,PD85,1611,1611,0,14,-14,100.00%,0.00%,-0.87%,0.87%,100.00%,,,,,,
27633,T170,1958,1940,0,1,17,99.08%,0.00%,0.87%,0.05%,99.08%,,,,,,
27648,PD75,996,1138,0,7,-149,114.26%,0.00%,-14.96%,0.70%,100.00%,,,,,,
27661,Tropical,2069,2020,0,18,31,97.63%,0.00%,1.50%,0.87%,97.63%,,,,,,
27662,Devore,359,359,0,0,0,100.00%,0.00%,0.00%,0.00%,100.00%,,,,,,
27666,T170,2007,1978,0,7,22,98.56%,0.00%,1.10%,0.35%,98.56%,,,,,,
27667,T170,2108,2079,0,2,27,98.62%,0.00%,1.28%,0.09%,98.62%,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
,,,,,,,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,,,,,,,
